data_path,label
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_1.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_10.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_100.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_101.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_102.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_103.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_104.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_105.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_106.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_107.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_108.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_109.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_11.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_110.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_111.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_112.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_113.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_114.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_115.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_116.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_117.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_118.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_119.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_12.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_120.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_121.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_122.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_123.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_124.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_125.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_126.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_127.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_128.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_129.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_13.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_14.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_15.json,like
C:/Users/antarctic polar bear/Desktop/two_hand/train/like/like_16.json,like
